epoch,accuracy,auc,learning_rate,loss,val_accuracy,val_auc,val_loss
0,0.942714273929596,0.9898287653923035,0.0010000000474974513,0.12792959809303284,0.5016666650772095,0.695887565612793,2.1739985942840576
1,0.9830714464187622,0.9982733726501465,0.0010000000474974513,0.04565764591097832,0.7846666574478149,0.9409999847412109,0.8613477349281311
2,0.9883571267127991,0.9991297721862793,0.0010000000474974513,0.03184206783771515,0.8766666650772095,0.9311568737030029,0.388153076171875
3,0.992642879486084,0.9994212985038757,0.0010000000474974513,0.021943751722574234,0.9723333120346069,0.997646152973175,0.08145271986722946
4,0.9929999709129333,0.9994128346443176,0.0010000000474974513,0.020867088809609413,0.5,0.5036666393280029,12.278791427612305
5,0.993571400642395,0.9995608925819397,0.0010000000474974513,0.016940342262387276,0.5,0.630921483039856,3.3817503452301025
6,0.9950714111328125,0.999627411365509,0.0010000000474974513,0.012728524394333363,0.49966666102409363,0.5029977560043335,10.901483535766602
7,0.996071457862854,0.9996444582939148,0.0005000000237487257,0.01148283388465643,0.5216666460037231,0.6020302176475525,4.9196343421936035
8,0.9977856874465942,0.9999107718467712,0.0005000000237487257,0.00561285438016057,0.9413333535194397,0.9906056523323059,0.14662867784500122
9,0.9968571662902832,0.9996739029884338,0.0005000000237487257,0.00925506092607975,0.9903333187103271,0.9999967217445374,0.030333658680319786
10,0.9984999895095825,0.9999873042106628,0.0005000000237487257,0.004505880177021027,0.7120000123977661,0.8756666779518127,1.5517679452896118
11,0.9978571534156799,0.9999783635139465,0.0005000000237487257,0.005882650148123503,0.999666690826416,1.0,0.0026465412229299545
12,0.9970714449882507,0.9999009966850281,0.0005000000237487257,0.006990448106080294,1.0,1.0,0.00016307673649862409
13,0.9977142810821533,0.999620795249939,0.0002500000118743628,0.008402051404118538,0.5,0.5006666779518127,18.256961822509766
14,0.9987857341766357,0.9998509287834167,0.0002500000118743628,0.003440354485064745,0.8966666460037231,0.9893333911895752,0.3005311191082001
15,0.9976428747177124,0.9997655153274536,0.0002500000118743628,0.006605795118957758,1.0,1.0000001192092896,0.001657423679716885
16,0.9992142915725708,0.9999970197677612,0.0001250000059371814,0.002397386822849512,1.0,1.0,4.846139927394688e-05
17,0.9993571639060974,0.9999970197677612,0.0001250000059371814,0.0018328954465687275,1.0,1.0,6.224139724508859e-06
18,0.9997143149375916,0.9999996423721313,0.0001250000059371814,0.0010859547182917595,1.0,1.0,7.748533244011924e-05
19,0.9994999766349792,0.9999982714653015,6.25000029685907e-05,0.0016000200994312763,1.0,1.0,4.740406438941136e-05
